NAMER	GENDER	SOURCES
ANTONIO	M	[11, 17, 19, 5, 2*, 1, 16, 3, 9, 7, 12, 15, 4, 5*, 18, 6, 2, 18*, 1*]
MANUEL	M	[11, 17, 19, 5, 2*, 1, 16, 3, 9, 7, 12, 15, 4, 8, 18, 6, 2, 1*]
JOSE	A	[11, 17, 5, 2*, 7*, 1, 16, 12*, 3, 7, 12, 15, 6*, 4, 5*, 18, 4*, 6, 2, 18*, 1*]
FRANCISCO	M	[11, 17, 5, 2*, 1, 16, 3, 9, 7, 12, 15, 6*, 4, 5*, 18, 4*, 6, 2, 18*, 1*]
DAVID	M	[11, 5, 2*, 1, 3, 9, 7, 12, 15, 4, 8, 5*, 18, 4*, 6, 2, 18*, 1*]
JUAN	A	[11, 17, 5, 2*, 7*, 1, 16, 3, 7, 12, 15, 4, 5*, 18, 6, 2, 18*, 1*]
JOSE ANTONIO	M	[1, 2]
JAVIER	M	[11, 17, 5, 2*, 1, 16, 3, 7, 12, 15, 6*, 4, 5*, 18, 4*, 6, 2, 1*]
DANIEL	M	[11, 19, 5, 2*, 1, 16, 3, 9, 7, 12, 4, 8, 18, 6, 2, 1*]
JOSE LUIS	M	[1, 7, 2]
FRANCISCO JAVIER	M	[4, 5, 1, 6, 2]
CARLOS	M	[11, 17, 5, 2*, 1, 16, 3, 9, 7, 12, 15, 4, 5*, 18, 6, 2, 18*, 1*]
JESUS	A	[11, 17, 19, 5, 2*, 1, 16, 12*, 3, 12, 6*, 4, 5*, 18, 4*, 6, 2, 1*]
ALEJANDRO	M	[11, 7, 12, 15, 17, 2, 4, 5, 2*, 18, 1, 16, 6, 3, 18*, 1*]
MIGUEL	M	[11, 17, 5, 2*, 1, 16, 3, 9, 7, 12, 15, 4, 18, 6, 2, 1*]
JOSE MANUEL	M	[1, 2]
RAFAEL	M	[11, 17, 19, 5, 1, 16, 3, 9, 7, 12, 15, 4, 8, 18, 6, 2, 1*]
MIGUEL ANGEL	M	[12, 1, 2]
PEDRO	M	[11, 17, 5, 2*, 1, 16, 3, 9, 7, 12, 15, 6*, 4, 5*, 18, 4*, 6, 2, 18*, 1*]
PABLO	M	[11, 17, 5, 2*, 1, 16, 3, 7, 12, 15, 4, 18, 6, 2, 18*, 1*]
ANGEL	A	[11, 5, 2*, 1, 16, 3, 7, 12, 15, 6*, 4, 8, 5*, 18, 4*, 6, 2, 1*]
SERGIO	M	[11, 7, 12, 15, 17, 2, 4, 5, 19, 18, 1, 6, 3, 1*]
JOSE MARIA	M	[7, 12, 5, 18, 1, 2]
FERNANDO	M	[11, 7, 12, 15, 17, 2, 4, 5, 19, 18, 1, 16, 6, 3, 1*]
JORGE	M	[7, 12, 15, 17, 2, 4, 5, 18, 1, 16, 6, 3, 18*, 1*]
LUIS	M	[11, 17, 19, 5, 2*, 7*, 1, 16, 3, 9, 7, 12, 15, 6*, 4, 5*, 18, 6, 2, 18*, 1*]
ALBERTO	M	[11, 7, 12, 15, 17, 2, 4, 5, 19, 18, 1, 16, 6, 3, 1*]
JUAN CARLOS	M	[1, 2]
ALVARO	M	[9, 11, 7, 12, 15, 17, 2, 4, 5, 18, 1, 16, 6, 3, 1*]
ADRIAN	M	[11, 7, 12, 15, 17, 2, 4, 5, 19, 1, 16, 6, 3, 1*]
JUAN JOSE	M	[18, 1, 2]
DIEGO	M	[11, 17, 19, 5, 2*, 1, 16, 3, 9, 7, 12, 15, 4, 18, 6, 2, 18*, 1*]
RAUL	M	[11, 17, 19, 5, 1, 3, 9, 7, 12, 15, 4, 8, 18, 6, 2, 1*]
IVAN	M	[9, 11, 7, 12, 15, 2, 4, 5, 8, 18, 1, 6, 3, 1*]
JUAN ANTONIO	M	[1, 2]
RUBEN	M	[9, 11, 12, 17, 2, 4, 5, 8, 18, 1, 6, 3, 1*]
ENRIQUE	M	[11, 7, 12, 15, 17, 2, 4, 5, 2*, 18, 1, 16, 6, 3, 1*]
OSCAR	M	[11, 17, 5, 2*, 1, 16, 3, 9, 7, 12, 15, 4, 8, 18, 6, 2, 1*]
RAMON	M	[11, 17, 5, 2*, 1, 16, 3, 9, 12, 15, 4, 8, 18, 6, 2, 1*]
VICENTE	M	[9, 11, 7, 12, 15, 17, 2, 4, 5, 18, 1, 16, 6, 3, 1*]
ANDRES	M	[11, 17, 19, 5, 2*, 1, 16, 3, 7, 12, 15, 4, 18, 6, 2, 1*]
JUAN MANUEL	M	[1, 2]
JOAQUIN	M	[11, 7, 12, 15, 17, 2, 4, 5, 2*, 18, 1, 16, 6, 3, 1*]
SANTIAGO	M	[11, 17, 5, 1, 16, 3, 9, 7, 12, 4, 8, 18, 6, 2, 18*, 1*]
VICTOR	M	[11, 17, 5, 2*, 1, 16, 3, 7, 12, 15, 4, 8, 18, 6, 2, 1*]
EDUARDO	M	[11, 17, 19, 5, 1, 16, 3, 7, 12, 15, 4, 18, 6, 2, 18*, 1*]
MARIO	M	[9, 11, 7, 12, 17, 2, 4, 5, 19, 18, 1, 16, 6, 3, 1*]
ROBERTO	M	[11, 17, 19, 5, 2*, 1, 16, 3, 9, 7, 12, 4, 18, 6, 2, 1*]
JAIME	M	[11, 7, 12, 15, 17, 2, 4, 5, 19, 18, 1, 6, 3, 1*]
FRANCISCO JOSE	M	[18, 1, 2]
MARCOS	M	[11, 7, 12, 15, 17, 4, 5, 18, 1, 16, 6, 2, 1*]
IGNACIO	M	[11, 17, 5, 2*, 1, 16, 3, 9, 7, 12, 15, 4, 18, 6, 2, 1*]
ALFONSO	M	[11, 7, 12, 17, 2, 4, 5, 18, 1, 16, 6, 3, 18*, 1*]
JORDI	M	[11, 15, 2, 4, 5, 8, 2*, 1, 6, 3, 1*]
HUGO	M	[9, 11, 7, 12, 15, 2, 4, 5, 19, 18, 1, 6, 3, 1*]
RICARDO	M	[9, 11, 7, 12, 15, 17, 2, 4, 5, 18, 1, 16, 6, 3, 1*]
SALVADOR	M	[9, 11, 7, 12, 17, 2, 4, 5, 8, 18, 1, 16, 6, 3, 1*]
GUILLERMO	M	[11, 7, 12, 15, 17, 2, 4, 5, 18, 1, 16, 6, 3, 1*]
EMILIO	M	[11, 17, 19, 5, 1, 16, 3, 9, 7, 12, 15, 4, 18, 6, 2, 1*]
GABRIEL	M	[11, 19, 5, 2*, 1, 16, 3, 9, 7, 12, 15, 4, 8, 18, 6, 2, 1*]
MARC	M	[11, 15, 2, 4, 5, 8, 2*, 1, 6, 3, 1*]
GONZALO	M	[9, 11, 7, 12, 15, 17, 2, 4, 5, 18, 1, 16, 6, 3, 1*]
JULIO	M	[11, 7, 12, 17, 2, 4, 5, 19, 18, 1, 16, 6, 3, 18*, 1*]
JULIAN	M	[11, 7, 12, 15, 17, 2, 4, 5, 19, 18, 1, 16, 6, 3, 1*]
MOHAMED	M	[2, 4, 5, 2*, 1, 6, 3, 1*]
JOSE MIGUEL	M	[1, 2]
TOMAS	M	[11, 17, 19, 5, 1, 16, 3, 7, 12, 15, 4, 8, 18, 6, 2, 1*]
MARTIN	M	[11, 7, 12, 15, 17, 2, 4, 5, 19, 18, 1, 16, 6, 3, 1*]
AGUSTIN	M	[11, 7, 12, 15, 17, 2, 4, 5, 19, 18, 1, 16, 6, 3, 1*]
JOSE RAMON	M	[1, 2]
NICOLAS	M	[11, 7, 12, 15, 17, 2, 4, 5, 18, 1, 16, 6, 3, 1*]
ISMAEL	M	[9, 11, 7, 12, 17, 2, 4, 5, 8, 18, 1, 6, 3, 1*]
JOAN	A	[15, 2, 4, 5, 8, 19, 2*, 1, 16, 6, 3, 1*]
FELIX	M	[11, 7, 15, 2, 4, 5, 8, 19, 18, 1, 16, 6, 3, 18*, 1*]
SAMUEL	M	[9, 11, 7, 12, 2, 4, 5, 8, 18, 1, 16, 6, 3, 1*]
CRISTIAN	M	[9, 11, 7, 12, 15, 17, 2, 4, 5, 1, 6, 3, 1*]
AITOR	M	[10, 9, 11, 7, 12, 2, 4, 5, 19, 1, 6, 3, 1*]
LUCAS	M	[9, 11, 7, 12, 15, 2, 4, 5, 2*, 18, 1, 16, 6, 3, 1*]
HECTOR	M	[11, 7, 12, 15, 17, 2, 4, 5, 8, 18, 1, 6, 3, 1*]
JUAN FRANCISCO	M	[18, 1, 2]
IKER	M	[7, 2, 4, 5, 19, 1, 6, 3, 1*]
JOSEP	M	[15, 2, 2*, 8, 1, 16, 3, 1*]
JOSE CARLOS	M	[1, 2]
ALEX	A	[11, 12, 15, 2, 4, 5, 8, 19, 1, 6, 3, 1*]
MARIANO	M	[9, 11, 7, 12, 2, 4, 5, 19, 18, 1, 16, 6, 3, 1*]
DOMINGO	M	[11, 7, 12, 15, 17, 2, 4, 5, 19, 18, 1, 16, 6, 3, 1*]
SEBASTIAN	M	[11, 17, 19, 5, 2*, 1, 16, 3, 9, 7, 12, 4, 18, 6, 2, 1*]
ALFREDO	M	[9, 11, 7, 12, 15, 17, 2, 5, 18, 1, 16, 6, 3, 1*]
